image_name,category,result
add_0001.png,addition,17.0
add_0002.png,addition,158.0
add_0003.png,addition,104.0
add_0004.png,addition,105.0
add_0005.png,addition,26.0
add_0006.png,addition,49.0
add_0007.png,addition,67.0
add_0008.png,addition,76.0
add_0009.png,addition,21.0
add_0010.png,addition,109.0
add_0011.png,addition,86.0
add_0012.png,addition,94.0
add_0013.png,addition,106.0
add_0014.png,addition,59.0
add_0015.png,addition,126.0
add_0016.png,addition,156.0
add_0017.png,addition,141.0
add_0018.png,addition,103.0
add_0019.png,addition,59.0
add_0020.png,addition,78.0
add_0021.png,addition,109.0
add_0022.png,addition,143.0
add_0023.png,addition,111.0
add_0024.png,addition,12.0
add_0025.png,addition,55.0
add_0026.png,addition,84.0
add_0027.png,addition,79.0
add_0028.png,addition,59.0
add_0029.png,addition,129.0
add_0030.png,addition,154.0
add_0031.png,addition,76.0
add_0032.png,addition,91.0
add_0033.png,addition,144.0
add_0034.png,addition,43.0
add_0035.png,addition,59.0
add_0036.png,addition,42.0
add_0037.png,addition,83.0
add_0038.png,addition,84.0
add_0039.png,addition,123.0
add_0040.png,addition,142.0
add_0041.png,addition,88.0
add_0042.png,addition,112.0
add_0043.png,addition,123.0
add_0044.png,addition,148.0
add_0045.png,addition,82.0
add_0046.png,addition,74.0
add_0047.png,addition,89.0
add_0048.png,addition,100.0
add_0049.png,addition,36.0
add_0050.png,addition,63.0
add_0051.png,addition,71.0
add_0052.png,addition,125.0
add_0053.png,addition,123.0
add_0054.png,addition,143.0
add_0055.png,addition,85.0
add_0056.png,addition,179.0
add_0057.png,addition,52.0
add_0058.png,addition,61.0
add_0059.png,addition,79.0
add_0060.png,addition,142.0
add_0061.png,addition,67.0
add_0062.png,addition,106.0
add_0063.png,addition,31.0
add_0064.png,addition,130.0
add_0065.png,addition,139.0
add_0066.png,addition,70.0
add_0067.png,addition,112.0
add_0068.png,addition,118.0
add_0069.png,addition,70.0
add_0070.png,addition,162.0
add_0071.png,addition,144.0
add_0072.png,addition,98.0
add_0073.png,addition,85.0
add_0074.png,addition,48.0
add_0075.png,addition,152.0
add_0076.png,addition,133.0
add_0077.png,addition,171.0
add_0078.png,addition,67.0
add_0079.png,addition,94.0
add_0080.png,addition,118.0
add_0081.png,addition,114.0
add_0082.png,addition,83.0
add_0083.png,addition,86.0
add_0084.png,addition,189.0
add_0085.png,addition,68.0
add_0086.png,addition,45.0
add_0087.png,addition,96.0
add_0088.png,addition,133.0
add_0089.png,addition,140.0
add_0090.png,addition,141.0
add_0091.png,addition,83.0
add_0092.png,addition,137.0
add_0093.png,addition,109.0
add_0094.png,addition,80.0
add_0095.png,addition,70.0
add_0096.png,addition,82.0
add_0097.png,addition,97.0
add_0098.png,addition,63.0
add_0099.png,addition,71.0
add_0100.png,addition,122.0
add_0101.png,addition,131.0
add_0102.png,addition,81.0
add_0103.png,addition,72.0
add_0104.png,addition,68.0
add_0105.png,addition,76.0
add_0106.png,addition,153.0
add_0107.png,addition,119.0
add_0108.png,addition,54.0
add_0109.png,addition,168.0
add_0110.png,addition,120.0
add_0111.png,addition,55.0
add_0112.png,addition,129.0
add_0113.png,addition,74.0
add_0114.png,addition,100.0
add_0115.png,addition,94.0
add_0116.png,addition,68.0
add_0117.png,addition,102.0
add_0118.png,addition,22.0
add_0119.png,addition,88.0
add_0120.png,addition,77.0
add_0121.png,addition,112.0
add_0122.png,addition,103.0
add_0123.png,addition,53.0
add_0124.png,addition,179.0
add_0125.png,addition,177.0
add_0126.png,addition,107.0
add_0127.png,addition,122.0
add_0128.png,addition,99.0
add_0129.png,addition,167.0
add_0130.png,addition,47.0
add_0131.png,addition,126.0
add_0132.png,addition,116.0
add_0133.png,addition,52.0
add_0134.png,addition,98.0
add_0135.png,addition,140.0
add_0136.png,addition,82.0
add_0137.png,addition,95.0
add_0138.png,addition,36.0
add_0139.png,addition,85.0
add_0140.png,addition,147.0
add_0141.png,addition,143.0
add_0142.png,addition,115.0
add_0143.png,addition,136.0
add_0144.png,addition,36.0
add_0145.png,addition,50.0
add_0146.png,addition,109.0
add_0147.png,addition,154.0
add_0148.png,addition,114.0
add_0149.png,addition,180.0
add_0150.png,addition,52.0
add_0151.png,addition,110.0
add_0152.png,addition,151.0
add_0153.png,addition,166.0
add_0154.png,addition,95.0
add_0155.png,addition,113.0
add_0156.png,addition,131.0
add_0157.png,addition,27.0
add_0158.png,addition,109.0
add_0159.png,addition,87.0
add_0160.png,addition,102.0
add_0161.png,addition,75.0
add_0162.png,addition,90.0
add_0163.png,addition,145.0
add_0164.png,addition,128.0
add_0165.png,addition,127.0
add_0166.png,addition,65.0
add_0167.png,addition,173.0
add_0168.png,addition,139.0
add_0169.png,addition,93.0
add_0170.png,addition,141.0
add_0171.png,addition,116.0
add_0172.png,addition,57.0
add_0173.png,addition,57.0
add_0174.png,addition,75.0
add_0175.png,addition,64.0
add_0176.png,addition,76.0
add_0177.png,addition,126.0
add_0178.png,addition,124.0
add_0179.png,addition,32.0
add_0180.png,addition,96.0
add_0181.png,addition,100.0
add_0182.png,addition,38.0
add_0183.png,addition,162.0
add_0184.png,addition,126.0
add_0185.png,addition,107.0
add_0186.png,addition,147.0
add_0187.png,addition,57.0
add_0188.png,addition,19.0
add_0189.png,addition,83.0
add_0190.png,addition,74.0
add_0191.png,addition,89.0
add_0192.png,addition,118.0
add_0193.png,addition,37.0
add_0194.png,addition,93.0
add_0195.png,addition,112.0
add_0196.png,addition,184.0
add_0197.png,addition,75.0
add_0198.png,addition,155.0
add_0199.png,addition,70.0
add_0200.png,addition,79.0
add_0201.png,addition,101.0
add_0202.png,addition,125.0
add_0203.png,addition,143.0
add_0204.png,addition,170.0
add_0205.png,addition,79.0
add_0206.png,addition,72.0
add_0207.png,addition,139.0
add_0208.png,addition,118.0
add_0209.png,addition,142.0
add_0210.png,addition,168.0
add_0211.png,addition,33.0
add_0212.png,addition,112.0
add_0213.png,addition,137.0
add_0214.png,addition,88.0
add_0215.png,addition,66.0
add_0216.png,addition,89.0
add_0217.png,addition,71.0
add_0218.png,addition,118.0
add_0219.png,addition,124.0
add_0220.png,addition,73.0
add_0221.png,addition,29.0
add_0222.png,addition,94.0
